customer_id,first_name,last_name,email,address_id
101,Alice,Green,alice.green@mailid.com,21
102,Benjamin,Clark,benjamin.clark@mailid.com,22
103,Chris,Lewis,chris.lewis@mailid.com,23
104,Diana,Walker,diana.walker@mailid.com,24
105,Emily,Hall,emily.hall@mailid.com,25
106,Frank,Scott,frank.scott@mailid.com,26
107,Grace,Adams,grace.adams@mailid.com,27
108,Henry,Carter,henry.carter@mailid.com,28
109,Isla,Cooper,isla.cooper@mailid.com,29
110,Jack,Foster,jack.foster@mailid.com,30
111,Kylie,Murphy,kylie.murphy@mailid.com,31
112,Leo,Ross,leo.ross@mailid.com,32
113,Mia,Bennett,mia.bennett@mailid.com,33
114,Noah,Foster,noah.foster@mailid.com,34
115,Olivia,Rivera,olivia.rivera@mailid.com,35
